"Country","Year","Total CO2 Emissions Excluding Land-Use Change and Forestry (MtCO2)","iso2","cumulativeShare"
"Russian Federation",1921,20.7223,"RU",0.704315014111928
"Switzerland",1921,4.4664,"CH",0.151805184705825
"United States",1921,1421.9728,"US",48.3303876837406
"others",1921,215.139,NA,7.31220124315477
"China",1922,26.6336,"CN",0.860236169608021
"European Union (28)",1922,1345.8118,NA,43.4682501744141
"India",1922,40.3919,"IN",1.30461422185473
"Japan",1922,0,"JP",0
"Russian Federation",1922,25.2716,"RU",0.816245058267228
"Switzerland",1922,6.1519,"CH",0.198699646003979
"United States",1922,1433.3238,"US",46.2947921242345
"others",1922,218.4954,NA,7.05716260561743
"China",1923,32.1516,"CN",0.904639175257732
"European Union (28)",1923,1277.7504,NA,35.9516499347229
"India",1923,41.5754,"IN",1.16979358933958
"Japan",1923,0,"JP",0
"Russian Federation",1923,27.9138,"RU",0.78540156665016
"Switzerland",1923,7.6651,"CH",0.215670440732904
"United States",1923,1894.0095,"US",53.2911330076982
"others",1923,273.0142,NA,7.68171228559853
"China",1924,35.0938,"CN",0.995634322599388
"European Union (28)",1924,1475.5502,NA,41.8623353366803
"India",1924,44.5066,"IN",1.26268168571662
"Japan",1924,0,"JP",0
"Russian Federation",1924,33.2566,"RU",0.943511743184232
"Switzerland",1924,7.2327,"CH",0.205196483853689
"United States",1924,1695.5929,"US",48.1050923067844
"others",1924,233.5352,NA,6.6255481211813
"China",1925,33.2215,"CN",0.929949053857351
"European Union (28)",1925,1460.7564,NA,40.8900571044676
"India",1925,43.9204,"IN",1.22943679319225
"Japan",1925,0,"JP",0
"Russian Federation",1925,32.8238,"RU",0.918816481916919
"Switzerland",1925,7.5368,"CH",0.210973015339828
"United States",1925,1740.8946,"US",48.7317937520994
"others",1925,253.2465,NA,7.08897379912664
"China",1926,29.5905,"CN",0.820732705825966
